Timestamp = 0.0795512, Batch 138, Epoch = 1, Loss = 2.4983, Actual Loss = 2.30246, Wt loss = 0.195839, C++_CUDA_GPU Avg iter time = 0.00052081
Timestamp = 0.0800856, Batch 139, Epoch = 1, Loss = 2.49833, Actual Loss = 2.3025, Wt loss = 0.195836, C++_CUDA_GPU Avg iter time = 0.00052762
Timestamp = 0.0806243, Batch 140, Epoch = 1, Loss = 2.49877, Actual Loss = 2.30293, Wt loss = 0.195834, C++_CUDA_GPU Avg iter time = 0.000533188
Timestamp = 0.0811307, Batch 141, Epoch = 1, Loss = 2.49819, Actual Loss = 2.30236, Wt loss = 0.195832, C++_CUDA_GPU Avg iter time = 0.000519763
Timestamp = 0.0817377, Batch 142, Epoch = 1, Loss = 2.49875, Actual Loss = 2.30292, Wt loss = 0.195829, C++_CUDA_GPU Avg iter time = 0.000563405
Timestamp = 0.0822615, Batch 143, Epoch = 1, Loss = 2.49889, Actual Loss = 2.30306, Wt loss = 0.195827, C++_CUDA_GPU Avg iter time = 0.000543599
Timestamp = 0.0827683, Batch 144, Epoch = 1, Loss = 2.49809, Actual Loss = 2.30227, Wt loss = 0.195824, C++_CUDA_GPU Avg iter time = 0.000525197
Timestamp = 0.0832704, Batch 145, Epoch = 1, Loss = 2.49849, Actual Loss = 2.30267, Wt loss = 0.195822, C++_CUDA_GPU Avg iter time = 0.00051366
Timestamp = 0.0837826, Batch 146, Epoch = 1, Loss = 2.49841, Actual Loss = 2.30259, Wt loss = 0.195819, C++_CUDA_GPU Avg iter time = 0.000512915
Timestamp = 0.0842842, Batch 147, Epoch = 1, Loss = 2.49888, Actual Loss = 2.30306, Wt loss = 0.195817, C++_CUDA_GPU Avg iter time = 0.000507242
Timestamp = 0.0847847, Batch 148, Epoch = 1, Loss = 2.49866, Actual Loss = 2.30285, Wt loss = 0.195815, C++_CUDA_GPU Avg iter time = 0.000503883
Timestamp = 0.0852942, Batch 149, Epoch = 1, Loss = 2.49871, Actual Loss = 2.3029, Wt loss = 0.195813, C++_CUDA_GPU Avg iter time = 0.000506693
Timestamp = 0.0858059, Batch 150, Epoch = 1, Loss = 2.49843, Actual Loss = 2.30262, Wt loss = 0.19581, C++_CUDA_GPU Avg iter time = 0.000509188
Timestamp = 0.0863086, Batch 151, Epoch = 1, Loss = 2.49818, Actual Loss = 2.30238, Wt loss = 0.195808, C++_CUDA_GPU Avg iter time = 0.000505969
Timestamp = 0.0868158, Batch 152, Epoch = 1, Loss = 2.49834, Actual Loss = 2.30253, Wt loss = 0.195806, C++_CUDA_GPU Avg iter time = 0.00050659
Timestamp = 0.0873151, Batch 153, Epoch = 1, Loss = 2.49874, Actual Loss = 2.30294, Wt loss = 0.195804, C++_CUDA_GPU Avg iter time = 0.000502941
Timestamp = 0.0878163, Batch 154, Epoch = 1, Loss = 2.49869, Actual Loss = 2.30289, Wt loss = 0.195801, C++_CUDA_GPU Avg iter time = 0.000502072
