Timestamp = 0.0721293, Batch 135, Epoch = 1, Loss = 2.35145, Actual Loss = 2.3031, Wt loss = 0.048357, C++_CUDA_GPU Avg iter time = 0.000464032
Timestamp = 0.0725864, Batch 136, Epoch = 1, Loss = 2.3509, Actual Loss = 2.30255, Wt loss = 0.0483568, C++_CUDA_GPU Avg iter time = 0.000460534
Timestamp = 0.0730487, Batch 137, Epoch = 1, Loss = 2.35092, Actual Loss = 2.30256, Wt loss = 0.0483567, C++_CUDA_GPU Avg iter time = 0.000461443
Timestamp = 0.0735071, Batch 138, Epoch = 1, Loss = 2.35058, Actual Loss = 2.30222, Wt loss = 0.0483566, C++_CUDA_GPU Avg iter time = 0.000459899
Timestamp = 0.0739692, Batch 139, Epoch = 1, Loss = 2.35145, Actual Loss = 2.3031, Wt loss = 0.0483564, C++_CUDA_GPU Avg iter time = 0.000461027
Timestamp = 0.0744304, Batch 140, Epoch = 1, Loss = 2.35065, Actual Loss = 2.3023, Wt loss = 0.0483564, C++_CUDA_GPU Avg iter time = 0.000461111
Timestamp = 0.0749054, Batch 141, Epoch = 1, Loss = 2.35159, Actual Loss = 2.30323, Wt loss = 0.0483563, C++_CUDA_GPU Avg iter time = 0.000468058
Timestamp = 0.0754815, Batch 142, Epoch = 1, Loss = 2.35083, Actual Loss = 2.30247, Wt loss = 0.0483561, C++_CUDA_GPU Avg iter time = 0.000522068
Timestamp = 0.075954, Batch 143, Epoch = 1, Loss = 2.35134, Actual Loss = 2.30298, Wt loss = 0.0483559, C++_CUDA_GPU Avg iter time = 0.000497273
Timestamp = 0.0764176, Batch 144, Epoch = 1, Loss = 2.35064, Actual Loss = 2.30229, Wt loss = 0.0483559, C++_CUDA_GPU Avg iter time = 0.000480446
Timestamp = 0.0768886, Batch 145, Epoch = 1, Loss = 2.35072, Actual Loss = 2.30236, Wt loss = 0.0483558, C++_CUDA_GPU Avg iter time = 0.000475717
Timestamp = 0.0773813, Batch 146, Epoch = 1, Loss = 2.35101, Actual Loss = 2.30266, Wt loss = 0.0483557, C++_CUDA_GPU Avg iter time = 0.000484215
Timestamp = 0.0778492, Batch 147, Epoch = 1, Loss = 2.35134, Actual Loss = 2.30298, Wt loss = 0.0483556, C++_CUDA_GPU Avg iter time = 0.00047606
Timestamp = 0.0783162, Batch 148, Epoch = 1, Loss = 2.35108, Actual Loss = 2.30273, Wt loss = 0.0483555, C++_CUDA_GPU Avg iter time = 0.000471539
Timestamp = 0.0787763, Batch 149, Epoch = 1, Loss = 2.35094, Actual Loss = 2.30258, Wt loss = 0.0483555, C++_CUDA_GPU Avg iter time = 0.000465816
Timestamp = 0.0792375, Batch 150, Epoch = 1, Loss = 2.35096, Actual Loss = 2.30261, Wt loss = 0.0483554, C++_CUDA_GPU Avg iter time = 0.000463498
Timestamp = 0.0796992, Batch 151, Epoch = 1, Loss = 2.35111, Actual Loss = 2.30275, Wt loss = 0.0483553, C++_CUDA_GPU Avg iter time = 0.000462615
Timestamp = 0.0801599, Batch 152, Epoch = 1, Loss = 2.35072, Actual Loss = 2.30236, Wt loss = 0.0483551, C++_CUDA_GPU Avg iter time = 0.000461635
Timestamp = 0.0806222, Batch 153, Epoch = 1, Loss = 2.35108, Actual Loss = 2.30273, Wt loss = 0.048355, C++_CUDA_GPU Avg iter time = 0.000461954
Timestamp = 0.081081, Batch 154, Epoch = 1, Loss = 2.35105, Actual Loss = 2.3027, Wt loss = 0.0483549, C++_CUDA_GPU Avg iter time = 0.000460388
Timestamp = 0.0815395, Batch 155, Epoch = 1, Loss = 2.35055, Actual Loss = 2.3022, Wt loss = 0.0483548, C++_CUDA_GPU Avg iter time = 0.000459459
Timestamp = 0.0819981, Batch 156, Epoch = 1, Loss = 2.35105, Actual Loss = 2.30269, Wt loss = 0.0483546, C++_CUDA_GPU Avg iter time = 0.000459022
Timestamp = 0.0826598, Batch 157, Epoch = 1, Loss = 2.35093, Actual Loss = 2.30257, Wt loss = 0.0483545, C++_CUDA_GPU Avg iter time = 0.000560374
Timestamp = 0.083189, Batch 158, Epoch = 1, Loss = 2.35053, Actual Loss = 2.30217, Wt loss = 0.0483544, C++_CUDA_GPU Avg iter time = 0.000544771
Timestamp = 0.0837068, Batch 159, Epoch = 1, Loss = 2.3506, Actual Loss = 2.30225, Wt loss = 0.0483543, C++_CUDA_GPU Avg iter time = 0.000531309
